Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
16/12/2006;19:11:00;4.862;0.27;243.6;21.0;0.0;0.0;28.0
16/12/2006;19:12:00;3.529;0.291;239.46;15.5;0.0;0.0;19.0
16/12/2006;19:13:00;6.078;0.426;240.34;26.6;0.0;0.0;26.0
16/12/2006;19:14:00;3.548;0.224;244.16;15.3;0.0;0.0;15.0
16/12/2006;19:15:00;4.284;0.289;239.0;18.9;0.0;0.0;16.0
16/12/2006;19:16:00;6.795;0.159;237.94;30.1;0.0;0.0;19.0
16/12/2006;19:17:00;3.311;0.295;240.09;14.5;30.0;2.0;23.0
16/12/2006;19:18:00;4.16;0.419;244.52;17.9;20.0;0.0;27.0
16/12/2006;19:19:00;4.393;0.269;240.35;19.2;0.0;0.0;22.0
16/12/2006;19:20:00;4.519;0.22;239.17;19.9;0.0;0.0;26.0
16/12/2006;19:21:00;3.862;0.385;236.46;17.2;0.0;1.0;22.0
16/12/2006;19:22:00;6.789;0.303;244.5;29.2;0.0;0.0;23.0
16/12/2006;19:23:00;2.698;0.175;243.43;11.7;0.0;0.0;20.0
16/12/2006;19:24:00;5.908;0.117;243.86;25.5;35.0;0.0;19.0
16/12/2006;19:25:00;7.609;0.564;237.57;33.7;0.0;0.0;18.0
16/12/2006;19:26:00;5.027;0.266;240.8;22.0;15.0;0.0;15.0
16/12/2006;19:27:00;4.972;0.207;246.98;21.2;0.0;0.0;15.0
16/12/2006;19:28:00;5.449;0.1;237.86;24.1;0.0;0.0;25.0
16/12/2006;19:29:00;4.015;0.331;238.48;17.7;0.0;0.0;23.0
16/12/2006;19:30:00;5.201;0.371;239.55;22.9;0.0;0.0;12.0
16/12/2006;19:31:00;5.714;0.141;244.02;24.6;0.0;0.0;20.0
16/12/2006;19:32:00;6.071;0.478;235.04;27.2;0.0;0.0;12.0
16/12/2006;19:33:00;3.105;0.404;241.46;13.5;0.0;0.0;28.0
16/12/2006;19:34:00;4.073;0.076;237.37;18.1;0.0;0.0;21.0
16/12/2006;19:35:00;6.543;0.199;240.0;28.7;34.0;0.0;27.0
16/12/2006;19:36:00;2.772;0.412;239.74;12.2;36.0;0.0;19.0
16/12/2006;19:37:00;6.315;0.304;243.9;27.3;0.0;0.0;28.0
16/12/2006;19:38:00;5.692;0.274;243.81;24.6;0.0;0.0;11.0
16/12/2006;19:39:00;4.407;0.442;242.96;19.1;26.0;0.0;29.0
16/12/2006;19:40:00;4.212;0.123;242.84;18.3;0.0;0.0;21.0
16/12/2006;19:41:00;5.883;0.139;237.92;26.0;0.0;2.0;14.0
16/12/2006;19:42:00;6.24;0.153;241.0;27.3;0.0;0.0;12.0
16/12/2006;19:43:00;3.25;0.076;240.66;14.2;30.0;0.0;16.0
16/12/2006;19:44:00;2.725;0.264;240.7;11.9;0.0;0.0;12.0
16/12/2006;19:45:00;10.523;0.636;237.16;46.7;0.0;0.0;28.0
16/12/2006;19:46:00;4.56;0.372;233.8;20.5;4.0;0.0;11.0
16/12/2006;19:47:00;5.222;0.225;241.23;22.8;0.0;0.0;19.0
16/12/2006;19:48:00;2.926;0.395;237.61;13.0;0.0;0.0;19.0
16/12/2006;19:49:00;3.957;0.244;236.35;17.6;17.0;0.0;17.0
16/12/2006;19:50:00;6.469;0.493;242.0;28.1;0.0;0.0;21.0
16/12/2006;19:51:00;4.915;0.129;241.6;21.4;0.0;0.0;24.0
16/12/2006;19:52:00;5.601;0.359;238.29;24.7;25.0;0.0;12.0
16/12/2006;19:53:00;4.081;0.313;244.17;17.6;0.0;0.0;29.0
16/12/2006;19:54:00;5.138;0.088;246.23;22.0;8.0;0.0;16.0
16/12/2006;19:55:00;2.526;0.275;238.21;11.2;0.0;0.0;22.0
16/12/2006;19:56:00;5.708;0.276;239.14;25.1;0.0;0.0;21.0
16/12/2006;19:57:00;2.726;0.3;243.39;11.8;0.0;0.0;23.0
16/12/2006;19:58:00;4.401;0.398;243.36;19.0;26.0;0.0;23.0
16/12/2006;19:59:00;4.2;0.074;243.02;18.2;9.0;0.0;15.0
16/12/2006;20:00:00;2.533;0.129;237.16;11.2;0.0;0.0;25.0
16/12/2006;20:01:00;8.252;0.596;244.21;35.6;0.0;0.0;21.0
16/12/2006;20:02:00;4.296;0.08;238.2;19.0;0.0;0.0;27.0
16/12/2006;20:03:00;6.131;0.366;245.93;26.2;0.0;0.0;16.0
16/12/2006;20:04:00;3.932;0.283;243.68;17.0;0.0;0.0;24.0
16/12/2006;20:05:00;6.005;0.15;243.31;26.0;23.0;0.0;22.0
16/12/2006;20:06:00;5.823;0.437;241.02;25.4;0.0;0.0;22.0
16/12/2006;20:07:00;6.216;0.155;237.31;27.6;17.0;0.0;15.0
16/12/2006;20:08:00;4.682;0.272;246.46;20.0;33.0;0.0;22.0
16/12/2006;20:09:00;4.49;0.417;242.91;19.5;0.0;0.0;25.0
16/12/2006;20:10:00;3.883;0.132;242.18;16.9;0.0;0.0;24.0
16/12/2006;20:11:00;3.242;0.24;241.37;14.1;0.0;0.0;13.0
16/12/2006;20:12:00;3.716;0.208;236.19;16.6;0.0;1.0;23.0
16/12/2006;20:13:00;5.612;0.503;237.54;24.9;0.0;0.0;21.0
16/12/2006;20:14:00;4.004;0.363;237.45;17.7;0.0;0.0;17.0
16/12/2006;20:15:00;5.997;0.478;243.5;25.9;0.0;0.0;20.0
16/12/2006;20:16:00;4.321;0.227;241.74;18.8;0.0;0.0;14.0
16/12/2006;20:17:00;2.832;0.103;242.81;12.3;0.0;0.0;27.0
16/12/2006;20:18:00;3.948;0.125;239.44;17.4;0.0;0.0;25.0
16/12/2006;20:19:00;4.382;0.364;242.13;19.1;17.0;0.0;24.0
16/12/2006;20:20:00;4.796;0.433;234.84;21.5;0.0;0.0;29.0
16/12/2006;20:21:00;3.712;0.286;241.98;16.1;0.0;0.0;25.0
16/12/2006;20:22:00;3.575;0.424;239.4;15.7;0.0;0.0;15.0
16/12/2006;20:23:00;3.673;0.129;240.3;16.1;0.0;0.0;14.0
16/12/2006;20:24:00;6.136;0.324;241.72;26.7;0.0;2.0;26.0
16/12/2006;20:25:00;5.903;0.216;251.09;24.7;0.0;0.0;13.0
16/12/2006;20:26:00;6.627;0.211;242.85;28.7;0.0;0.0;12.0
16/12/2006;20:27:00;6.845;0.485;237.32;30.4;0.0;0.0;27.0
16/12/2006;20:28:00;2.571;0.154;242.9;11.1;0.0;0.0;18.0
16/12/2006;20:29:00;2.868;0.09;243.46;12.4;0.0;0.0;29.0
16/12/2006;20:30:00;4.179;0.341;243.23;18.1;30.0;0.0;24.0
16/12/2006;20:31:00;5.817;0.237;240.51;25.5;21.0;0.0;13.0
16/12/2006;20:32:00;4.498;0.347;241.24;19.6;0.0;0.0;16.0
16/12/2006;20:33:00;7.691;0.362;239.73;33.8;0.0;0.0;15.0
16/12/2006;20:34:00;3.322;0.379;242.71;14.4;15.0;0.0;24.0
16/12/2006;20:35:00;4.163;0.282;238.65;18.4;0.0;0.0;20.0
16/12/2006;20:36:00;5.626;0.361;242.56;24.4;4.0;0.0;16.0
16/12/2006;20:37:00;4.332;0.223;237.19;19.2;33.0;0.0;29.0
16/12/2006;20:38:00;6.714;0.121;238.83;29.6;0.0;0.0;28.0
16/12/2006;20:39:00;5.113;0.091;238.49;22.6;30.0;0.0;17.0
16/12/2006;20:40:00;5.102;0.505;237.03;22.7;0.0;0.0;18.0
16/12/2006;20:41:00;3.573;0.367;244.71;15.4;0.0;0.0;21.0
16/12/2006;20:42:00;3.619;0.475;239.22;15.9;0.0;0.0;26.0
16/12/2006;20:43:00;6.364;0.125;247.75;27.0;0.0;0.0;16.0
16/12/2006;20:44:00;2.779;0.406;243.8;12.0;0.0;0.0;25.0
16/12/2006;20:45:00;3.022;0.119;236.74;13.4;0.0;2.0;17.0
16/12/2006;20:46:00;4.872;0.113;236.2;21.7;0.0;0.0;25.0
16/12/2006;20:47:00;2.817;0.311;252.58;11.7;0.0;0.0;17.0
16/12/2006;20:48:00;5.855;0.166;244.13;25.2;0.0;1.0;13.0
16/12/2006;20:49:00;3.887;0.214;240.08;17.0;0.0;0.0;26.0
16/12/2006;20:50:00;5.231;0.133;239.51;23.0;0.0;0.0;28.0
16/12/2006;20:51:00;5.333;0.355;244.54;23.0;0.0;0.0;26.0
16/12/2006;20:52:00;2.695;0.283;237.62;11.9;0.0;0.0;19.0
16/12/2006;20:53:00;3.746;0.268;236.36;16.7;0.0;0.0;16.0
16/12/2006;20:54:00;2.758;0.249;242.05;12.0;28.0;0.0;26.0
16/12/2006;20:55:00;3.062;0.285;244.99;13.2;18.0;0.0;15.0
16/12/2006;20:56:00;3.748;0.323;240.87;16.4;13.0;0.0;16.0
16/12/2006;20:57:00;4.643;0.292;247.21;19.8;2.0;0.0;20.0
16/12/2006;20:58:00;3.425;0.087;234.18;15.4;0.0;0.0;20.0
16/12/2006;20:59:00;4.353;0.385;241.01;19.0;0.0;0.0;18.0
16/12/2006;21:00:00;3.337;0.096;235.36;14.9;38.0;0.0;12.0
16/12/2006;21:01:00;4.194;0.215;240.65;18.3;0.0;0.0;14.0
16/12/2006;21:02:00;6.993;0.255;237.31;31.0;0.0;0.0;16.0
16/12/2006;21:03:00;3.199;0.359;241.38;14.0;13.0;0.0;20.0
16/12/2006;21:04:00;3.789;0.221;236.68;16.9;0.0;0.0;24.0
16/12/2006;21:05:00;2.615;0.429;232.86;11.8;0.0;0.0;21.0
16/12/2006;21:06:00;5.009;0.358;236.32;22.3;26.0;2.0;12.0
16/12/2006;21:07:00;3.849;0.356;236.61;17.1;0.0;0.0;27.0
16/12/2006;21:08:00;5.664;0.143;241.55;24.7;0.0;0.0;16.0
16/12/2006;21:09:00;6.422;0.257;243.54;27.8;0.0;0.0;22.0
16/12/2006;21:10:00;5.123;0.187;238.67;22.6;0.0;0.0;15.0
16/12/2006;21:11:00;5.531;0.24;239.98;24.3;0.0;0.0;15.0
16/12/2006;21:12:00;5.409;0.53;244.11;23.3;0.0;0.0;15.0
16/12/2006;21:13:00;3.989;0.178;233.57;18.0;0.0;0.0;20.0
16/12/2006;21:14:00;5.494;0.364;238.76;24.2;0.0;0.0;22.0
16/12/2006;21:15:00;4.277;0.114;239.56;18.8;0.0;2.0;28.0
16/12/2006;21:16:00;6.521;0.319;243.38;28.2;25.0;0.0;12.0
16/12/2006;21:17:00;4.801;0.49;248.64;20.3;0.0;0.0;27.0
16/12/2006;21:18:00;6.454;0.278;233.29;29.1;0.0;0.0;27.0
16/12/2006;21:19:00;?;?;?;?;?;?;?
16/12/2006;21:20:00;2.961;0.175;241.02;12.9;0.0;0.0;19.0
16/12/2006;21:21:00;6.16;0.174;242.25;26.8;0.0;0.0;14.0
16/12/2006;21:22:00;5.9;0.441;242.04;25.7;33.0;0.0;26.0
16/12/2006;21:23:00;2.873;0.136;242.6;12.5;11.0;0.0;24.0
16/12/2006;21:24:00;3.798;0.074;242.99;16.5;0.0;0.0;11.0
16/12/2006;21:25:00;3.819;0.277;244.75;16.4;5.0;0.0;16.0
16/12/2006;21:26:00;3.442;0.129;237.74;15.2;0.0;0.0;18.0
16/12/2006;21:27:00;4.525;0.362;241.28;19.7;0.0;0.0;12.0
16/12/2006;21:28:00;5.526;0.34;243.17;23.9;21.0;0.0;21.0
16/12/2006;21:29:00;3.911;0.118;241.97;17.0;20.0;0.0;19.0
16/12/2006;21:30:00;4.464;0.273;244.87;19.2;0.0;0.0;18.0
16/12/2006;21:31:00;5.707;0.1;240.15;25.0;0.0;0.0;11.0
16/12/2006;21:32:00;2.636;0.355;241.76;11.5;0.0;0.0;22.0
16/12/2006;21:33:00;6.769;0.521;243.39;29.3;0.0;0.0;20.0
16/12/2006;21:34:00;3.995;0.296;239.08;17.6;0.0;0.0;14.0
16/12/2006;21:35:00;?;?;?;?;?;?;?
16/12/2006;21:36:00;3.783;0.294;234.96;16.9;14.0;0.0;28.0
16/12/2006;21:37:00;2.985;0.228;239.61;13.1;0.0;0.0;10.0
16/12/2006;21:38:00;6.428;0.429;245.81;27.5;0.0;0.0;14.0
16/12/2006;21:39:00;2.743;0.174;242.38;11.9;0.0;0.0;16.0
16/12/2006;21:40:00;5.392;0.216;243.72;23.3;12.0;2.0;27.0
16/12/2006;21:41:00;5.192;0.302;244.48;22.4;0.0;0.0;23.0
16/12/2006;21:42:00;3.871;0.131;236.97;17.2;0.0;0.0;16.0
16/12/2006;21:43:00;5.965;0.349;244.56;25.7;0.0;0.0;13.0
16/12/2006;21:44:00;3.374;0.437;241.61;14.7;0.0;0.0;15.0
16/12/2006;21:45:00;5.093;0.161;239.64;22.4;0.0;0.0;21.0
16/12/2006;21:46:00;6.239;0.547;248.29;26.5;0.0;0.0;29.0
16/12/2006;21:47:00;3.543;0.151;241.52;15.4;0.0;0.0;25.0
16/12/2006;21:48:00;4.795;0.19;237.06;21.3;37.0;0.0;26.0
16/12/2006;21:49:00;4.094;0.308;240.5;17.9;6.0;0.0;28.0
16/12/2006;21:50:00;4.296;0.213;236.39;19.1;0.0;0.0;23.0
16/12/2006;21:51:00;6.033;0.389;244.95;25.9;0.0;0.0;25.0
16/12/2006;21:52:00;5.597;0.507;236.37;24.9;2.0;0.0;28.0
16/12/2006;21:53:00;5.787;0.478;239.6;25.4;27.0;2.0;17.0
16/12/2006;21:54:00;5.367;0.3;240.43;23.5;0.0;2.0;15.0
16/12/2006;21:55:00;2.574;0.317;240.83;11.3;0.0;0.0;12.0
16/12/2006;21:56:00;3.14;0.273;241.81;13.7;0.0;0.0;18.0
16/12/2006;21:57:00;6.758;0.428;238.48;29.8;0.0;0.0;26.0
16/12/2006;21:58:00;2.902;0.278;241.21;12.7;19.0;0.0;25.0
16/12/2006;21:59:00;6.189;0.337;240.95;27.0;9.0;0.0;27.0
16/12/2006;22:00:00;2.7;0.416;244.12;11.6;0.0;2.0;16.0
16/12/2006;22:01:00;5.024;0.396;238.36;22.2;0.0;0.0;11.0
16/12/2006;22:02:00;3.534;0.226;243.09;15.3;0.0;0.0;13.0
16/12/2006;22:03:00;5.614;0.534;239.06;24.7;0.0;1.0;26.0
16/12/2006;22:04:00;5.807;0.267;240.92;25.4;0.0;0.0;29.0
16/12/2006;22:05:00;4.03;0.252;240.02;17.7;0.0;0.0;23.0
16/12/2006;22:06:00;5.16;0.4;242.41;22.4;0.0;0.0;22.0
16/12/2006;22:07:00;3.862;0.071;241.71;16.8;0.0;0.0;17.0
16/12/2006;22:08:00;3.07;0.241;237.72;13.6;0.0;1.0;12.0
16/12/2006;22:09:00;3.895;0.191;239.7;17.1;0.0;0.0;12.0
16/12/2006;22:10:00;6.392;0.363;242.32;27.8;0.0;0.0;16.0
16/12/2006;22:11:00;2.772;0.225;243.54;12.0;0.0;0.0;11.0
16/12/2006;22:12:00;3.56;0.309;241.31;15.5;0.0;0.0;28.0
16/12/2006;22:13:00;5.167;0.226;242.23;22.5;0.0;0.0;25.0
16/12/2006;22:14:00;6.689;0.244;242.83;29.0;0.0;0.0;28.0
16/12/2006;22:15:00;3.753;0.271;240.1;16.5;0.0;0.0;15.0
16/12/2006;22:16:00;6.011;0.135;236.85;26.7;0.0;0.0;23.0
16/12/2006;22:17:00;6.598;0.436;239.13;29.0;0.0;0.0;16.0
16/12/2006;22:18:00;6.022;0.277;236.27;26.8;0.0;0.0;23.0
16/12/2006;22:19:00;5.893;0.552;240.82;25.8;0.0;0.0;18.0
16/12/2006;22:20:00;6.458;0.351;241.56;28.1;0.0;0.0;20.0
16/12/2006;22:21:00;2.865;0.318;237.88;12.7;0.0;0.0;22.0
16/12/2006;22:22:00;6.73;0.284;240.94;29.4;0.0;0.0;10.0
16/12/2006;22:23:00;4.696;0.329;232.49;21.3;0.0;0.0;18.0
16/12/2006;22:24:00;5.821;0.317;240.4;25.5;0.0;0.0;18.0
16/12/2006;22:25:00;2.999;0.12;241.39;13.1;0.0;0.0;19.0
16/12/2006;22:26:00;4.577;0.264;239.88;20.1;0.0;0.0;25.0
16/12/2006;22:27:00;6.151;0.409;238.15;27.2;0.0;0.0;29.0
16/12/2006;22:28:00;3.25;0.289;243.05;14.1;0.0;0.0;14.0
16/12/2006;22:29:00;7.893;0.195;240.2;34.6;0.0;0.0;17.0
16/12/2006;22:30:00;3.385;0.392;242.17;14.7;0.0;0.0;14.0
16/12/2006;22:31:00;4.467;0.447;241.37;19.5;0.0;0.0;22.0
16/12/2006;22:32:00;5.129;0.234;243.31;22.2;0.0;0.0;23.0
16/12/2006;22:33:00;5.142;0.137;237.14;22.8;0.0;0.0;16.0
16/12/2006;22:34:00;5.482;0.272;242.84;23.8;0.0;0.0;22.0
16/12/2006;22:35:00;5.275;0.331;243.2;22.8;0.0;0.0;13.0
16/12/2006;22:36:00;4.439;0.228;242.53;19.3;0.0;0.0;28.0
16/12/2006;22:37:00;4.628;0.256;240.9;20.2;0.0;0.0;19.0
16/12/2006;22:38:00;2.633;0.174;240.18;11.5;0.0;0.0;19.0
16/12/2006;22:39:00;5.793;0.133;244.73;24.9;0.0;0.0;25.0
16/12/2006;22:40:00;4.078;0.088;240.02;17.9;0.0;0.0;12.0
16/12/2006;22:41:00;5.731;0.55;236.85;25.5;0.0;0.0;17.0
16/12/2006;22:42:00;4.388;0.407;241.28;19.1;0.0;0.0;17.0
16/12/2006;22:43:00;5.221;0.14;246.62;22.3;0.0;0.0;14.0
16/12/2006;22:44:00;4.009;0.296;238.57;17.7;0.0;0.0;15.0
16/12/2006;22:45:00;6.738;0.132;245.27;28.9;0.0;0.0;25.0
16/12/2006;22:46:00;6.768;0.148;242.42;29.4;0.0;0.0;26.0
16/12/2006;22:47:00;5.408;0.344;238.99;23.8;0.0;0.0;18.0
16/12/2006;22:48:00;5.225;0.119;238.23;23.1;0.0;0.0;17.0
16/12/2006;22:49:00;7.843;0.481;240.55;34.3;0.0;0.0;19.0
16/12/2006;22:50:00;4.04;0.295;241.48;17.6;0.0;0.0;15.0
16/12/2006;22:51:00;3.952;0.307;244.12;17.0;0.0;0.0;17.0
16/12/2006;22:52:00;2.708;0.362;239.2;11.9;0.0;0.0;18.0
16/12/2006;22:53:00;?;?;?;?;?;?;?
16/12/2006;22:54:00;3.37;0.12;241.21;14.7;0.0;0.0;13.0
16/12/2006;22:55:00;3.678;0.171;236.0;16.4;0.0;0.0;18.0
16/12/2006;22:56:00;5.508;0.382;245.79;23.6;0.0;0.0;10.0
16/12/2006;22:57:00;3.071;0.332;245.73;13.2;0.0;0.0;29.0
16/12/2006;22:58:00;3.068;0.216;241.09;13.4;0.0;0.0;12.0
16/12/2006;22:59:00;6.288;0.459;240.83;27.5;0.0;0.0;13.0
16/12/2006;23:00:00;0.812;0.197;239.09;3.6;0.0;0.0;12.0
16/12/2006;23:01:00;1.376;0.35;242.06;6.0;0.0;0.0;21.0
16/12/2006;23:02:00;2.149;0.112;241.56;9.4;0.0;0.0;12.0
16/12/2006;23:03:00;1.64;0.33;238.53;7.2;0.0;0.0;16.0
